,제목,저자,출판사,출판일,정가
148,흔한남매 수수께끼 어드벤처 2,"흔한남매 원저/노지영 글/도니패밀리 그림/흔한컴퍼니,정재형 감수",미래엔아이세움,2023년 02월,14000.0
149,2023 박문각 공인중개사 박문각 익힘장 2차 부동산공시법령,박윤모 편저,박문각,2023년 02월,8000.0
150,데미안,헤르만 헤세 저/전영애 역,민음사,2000년 12월,8000.0
151,지적 대화를 위한 넓고 얕은 지식 제로,채사장 저,웨일북,2019년 12월,19800.0
152,인스타 브레인,안데르스 한센 저/김아영 역,동양북스(동양books),2020년 05월,15000.0
153,인간 실격,다자이 오사무 저,민음사,2004년 05월,9000.0
154,2023 해커스 토익 LC 리스닝(Listening) 토익 기본서 ,데이비드 조 저,해커스어학연구소,2023년 01월,18800.0
155,사피엔스 (양장 특별판),유발 하라리 저/조현욱 역,김영사,2023년 01월,30000.0
156,그리스 로마 신화 32,박시연 글/최우빈 그림/김헌 감수,아울북,2023년 02월,15000.0
157,문학을 열다 세트,"에토프 이나영 그림/김유정,이상,황순원,오 헨리,알베르 까뮈,박지원,혜경궁 홍씨 등저",스푼북,2020년 09월,75000.0
158,혼공쌤의 초등만화영문법 (하),허준석 글/최정화 그림,길벗스쿨,2023년 02월,14000.0
159,맨큐의 경제학,"N. Gregory Mankiw 저 / 김경환,김종석 공역",센게이지러닝(Cengage Learning),2021년 02월,45000.0
160,지적 대화를 위한 넓고 얕은 지식 2,채사장 저,웨일북,2020년 02월,16000.0
161,돈의 심리학,모건 하우절 저/이지연 역,인플루엔셜,2021년 01월,19800.0
162,백년허리2 치료편,정선근 저,언탱글링,2021년 05월,18500.0
163,모든 것은 기본에서 시작한다,손웅정 저,수오서재,2021년 10월,16000.0
164,해커스 일본어 첫걸음 : 일본어 기초 20일 독학 완성!,해커스 일본어연구소 저,해커스어학연구소,2021년 07월,13900.0
165,하얼빈,김훈 저,문학동네,2022년 08월,16000.0
166,세계를 건너 너에게 갈게,이꽃님 저,문학동네,2018년 02월,12500.0
167,세컨드 브레인 ,티아고 포르테 저/서은경 역,쌤앤파커스,2023년 03월,16800.0
168,스즈키 바이올린 교본 1,편집부,세광음악출판사,2009년 12월,12000.0
169,정세현의 통찰,정세현 저,푸른숲,2023년 02월,19000.0
170,클루지,개리 마커스 저/최호영 역,갤리온,2008년 11월,13800.0
171,2023 수제비 정보처리기사 실기 1권+2권 합본세트,NCS 정보처리기술사 연구회 저,건기원,2023년 02월,40000.0
172,죽이고 싶은 아이,이꽃님 저,우리학교,2021년 06월,12500.0
173,달러구트 꿈 백화점 ,이미예 저,팩토리나인,2020년 07월,13800.0
174,슬램덩크 챔프 ,이노우에 타케히코 글그림,대원,2023년 01월,15000.0
175,히카루가 죽은 여름 1 ,모쿠모쿠렌 글그림/송재희 역,디앤씨미디어(D&C미디어),2023년 03월,6000.0
176,2023 이유진 국어 필사즉생 모의고사 백일기도 3 - 독해강화,"이유진,최형우 편저",고시동네,2023년 03월,19000.0
177,회사는 엑셀을 가르쳐주지 않아요,쏘피(박성희) 저,메가스터디북스,2022년 09월,18000.0
178,ETS 토익 단기공략 750+ (LC+RC),ETS 저,YBM(와이비엠),2020년 08월,18000.0
179,흔한남매의 흔한 호기심 8,"흔한남매 원저/안치현 글/유난희 그림/흔한컴퍼니,이정모 감수",미래엔아이세움,2023년 01월,14000.0
180,타키 포오의 이세계 여행사 1,캐릭온TV 원저/스튜디오 왓츠비 글그림,대원씨아이(단행)(대원키즈),2023년 02월,13000.0
181,작별인사,김영하 저,복복서가,2022년 09월,14000.0
182,이토록 평범한 미래,김연수 저,문학동네,2022년 10월,14000.0
183,조선 미술관,탁현규 저,블랙피쉬,2023년 02월,16800.0
184,챗GPT에게 묻는 인류의 미래,"김대식,챗GPT 저",동아시아,2023년 02월,16000.0
185,세상에서 가장 쉬운 본질육아 [러브드 에디션],지나영 저,21세기북스,2022년 09월,18800.0
186,미드나잇 라이브러리 : 평행우주 에디션,매트 헤이그 저/노진선 역,인플루엔셜,2021년 04월,15800.0
187,아주 작은 습관의 힘,제임스 클리어 저/이한이 역,비즈니스북스,2019년 02월,16000.0
188,타키 포오 코믹 어드벤처 1 ,캐릭온TV 원저/김규태 그림/안도감 편저,대원씨아이(단행)(대원키즈),2023년 03월,13000.0
189,2023 에듀윌 공인중개사 2차 1교시 단원별 기출문제집,"임선정,오시훈 편저",에듀윌,2023년 01월,29000.0
190,오베라는 남자,프레드릭 배크만 저/최민우 역,다산책방,2023년 03월,16800.0
191,"하루 한 장, 인생 그림",이소영 저,알에이치코리아(RHK),2023년 02월,32000.0
192,이어령의 마지막 수업,"김지수,이어령 저",열림원,2021년 10월,16500.0
193,내가 모르는 사이에,김화요 글/오윤화 그림,웅진주니어,2021년 06월,10000.0
194,잘했고 잘하고 있고 잘 될 것이다 (스페셜 리미티드 에디션),정영욱 저,부크럼,2022년 10월,15000.0
195,우리는 모두 죽는다는 것을 기억하라,웨인 다이어 저/정지현 역,토네이도,2019년 11월,17000.0
196,"돈, 뜨겁게 사랑하고 차갑게 다루어라",앙드레 코스톨라니 저/한윤진 역,미래의창,2015년 09월,12000.0
197,파친코 2,이민진 저/신승미 역,인플루엔셜,2022년 08월,15800.0
198,고양이 해결사 깜냥 2,홍민정 글/김재희 그림,창비,2020년 10월,11000.0
199,스카이 버스,분당강쌤 저,다산에듀,2023년 01월,18000.0
200,슈뻘맨의 숨은 과학 찾기 1,"슈뻘맨 원저/서후 글/류수형 그림/샌드박스 네트워크,정재형 감수",미래엔아이세움,2023년 03월,14000.0
201,경제기사 궁금증 300문 300답,곽해선 저,혜다,2023년 02월,24000.0
202,백년운동,정선근 저,아티잔,2019년 11월,19500.0
203,2023 에듀윌 공인중개사 2차 2교시 단원별 기출문제집,"김민석,한영규 편저",에듀윌,2023년 01월,23000.0
204,흔한남매 12,흔한남매 원저/백난도 글/유난희 그림/흔한컴퍼니 감수,미래엔아이세움,2022년 11월,14500.0
205,만복이네 떡집,김리리 글/이승현 그림,비룡소,2010년 05월,11000.0
206,고양이 해결사 깜냥 4,홍민정 글/김재희 그림,창비,2022년 01월,11000.0
207,전태일 평전,조영래 저,아름다운전태일,2020년 09월,15000.0
208,2023 대한민국 산업지도,이래학 저,경이로움,2023년 01월,22000.0
209,파친코 1,이민진 저/신승미 역,인플루엔셜,2022년 07월,15800.0
210,설민석의 한국사 대모험 23 ,"스토리박스,설민석 글/정현희 그림/강석화 감수",단꿈아이,2022년 11월,13000.0
211,생각하라 그리고 부자가 되어라,나폴레온 힐 저/빌 하틀리 편/이한이 역,반니,2021년 01월,18000.0
212,정의란 무엇인가,마이클 샌델 저/김명철 역/김선욱 감수,와이즈베리,2014년 11월,15000.0
213,거의 모든 일상 표현의 영어,"케빈 강,해나 변 저",사람in,2022년 11월,17000.0
214,별의 커비 디스커버리 2,"다카세 미에 글/포토,가리노 타우 그림/현승희 역",해피북스투유,2023년 02월,13500.0
215,2023 심우철 실전 동형 모의고사 Season 2,심우철 저,심슨북스,2023년 02월,18000.0
216,푸른 사자 와니니,이현 글/오윤화 그림,창비,2015년 06월,10800.0
217,백년허리1 진단편,정선근 저,언탱글링,2021년 04월,18500.0
218,목련 만두,백유연 글그림,웅진주니어,2023년 03월,14000.0
219,공정하다는 착각,마이클 샌델 저/함규진 역,와이즈베리,2020년 12월,18000.0
220,원피스 ONE PIECE 104 ,오다 에이이치로 글그림,대원,2023년 02월,5500.0
221,2023 산업안전기사 실기[필답형+작업형]+무료동영상,최윤정 저,구민사,2023년 02월,42000.0
222,열방약국 말기암 통합요법 상담소,김훈하 저,리더북스,2023년 01월,15000.0
223,스틱!,"칩 히스,댄 히스 저/박슬라,안진환 역",웅진지식하우스,2022년 10월,19000.0
224,가재가 노래하는 곳,델리아 오언스 저/김선형 역,살림출판사,2019년 06월,16000.0
225,고양이 해결사 깜냥 3,홍민정 글/김재희 그림,창비,2021년 06월,11000.0
226,랑랑 형제 떡집,김리리 글/김이랑 그림,비룡소,2022년 10월,11000.0
227,달러구트 꿈 백화점 2 (레인보우 에디션),이미예 저,팩토리나인,2021년 07월,13800.0
228,초역 니체의 말,프리드리히 니체 저/시라토리 하루히코 편/박재현 역,삼호미디어,2022년 08월,15800.0
229,회복탄력성,김주환 저,위즈덤하우스,2019년 03월,14800.0
230,멘탈을 바꿔야 인생이 바뀐다,박세니 저,마인드셋(Mindset),2022년 04월,15800.0
231,마음의 법칙,"폴커 키츠,마누엘 투쉬 저/김희상 역",포레스트북스,2022년 02월,16000.0
232,파쇄,구병모 저,위즈덤하우스,2023년 03월,13000.0
233,미움받을 용기 (200만 부 기념 스페셜 에디션),"기시미 이치로,고가 후미타케 저/전경아 역/김정운 감수",인플루엔셜,2022년 12월,15900.0
234,꽃을 보듯 너를 본다,나태주 저,지혜,2015년 06월,11000.0
235,견딜 수 없는 사랑,이언 매큐언 저/한정아 역,복복서가,2023년 03월,16800.0
236,천하제일 치킨쇼,이희정 글/김무연 그림,비룡소,2023년 01월,12000.0
237,2023 문동균 한국사 D-30 문단속 모의고사,문동균 편저,에스티유니타스,2023년 02월,14000.0
238,아홉 살 마음 사전,박성우 글/김효은 그림,창비,2017년 03월,13000.0
239,해커스 보카 Hackers Vocabulary,David Cho 저,해커스어학연구소,2015년 07월,16900.0
240,임신 출산 육아 대백과,편집부 저,삼성출판사,2022년 07월,19500.0
241,오백 년째 열다섯,김혜정 저,위즈덤하우스,2022년 01월,12500.0
242,"2023 큰별쌤 최태성의 별별한국사 시대별 기출문제집 한국사능력검정시험 심화(1,2,3급)",최태성 저,이투스북,2022년 12월,19000.0
243,비상식적 성공 법칙,간다 마사노리 저/서승범 역,생각지도,2022년 06월,17000.0
244,순례 주택 (10만부 돌파 기념 스페셜 봄 에디션),유은실 저,비룡소,2023년 02월,13000.0
245,역사의 쓸모,최태성 저,다산초당,2019년 06월,15000.0
246,해커스 토익 실전 1000제 1 RC Reading 문제집 (리딩),해커스 어학연구소 저,해커스어학연구소,2023년 01월,11900.0
247,주식투자 최적의 타이밍을 잡는 법,스탠 와인스타인 저/우승택 역,플로우,2020년 12월,22000.0
248,챗GPT 사용설명서,송준용 저,여의도책방,2023년 03월,20000.0
249,해커스 토익 스타트 RC Reading (리딩),데이비드 조 저,해커스어학연구소,2020년 02월,14900.0
250,당연하게도 나는 너를,이꽃님 저,우리학교,2023년 03월,13500.0
251,인생의 역사,신형철 저,난다,2022년 10월,18000.0
252,오십이 앞으로 어떻게 살 거냐고 물었다,이관호 저,온더페이지,2023년 03월,17500.0
253,모든 꽃이 봄에 피지는 않는다,이다지 저,서삼독,2023년 01월,17500.0
254,28시간에 끝내는 토익스피킹 스타트,"황인기,시원스쿨어학연구소 저",시원스쿨닷컴,2022년 06월,17900.0
255,벚꽃 팝콘,백유연 글그림,웅진주니어,2020년 03월,13000.0
256,"어서 오세요, 휴남동 서점입니다",황보름 저,클레이하우스,2022년 01월,15000.0
257,이토록 공부가 재미있어지는 순간,박성혁 저,다산북스,2020년 07월,15000.0
258,챗GPT와 글쓰기,김철수 저,위키북스,2023년 02월,18000.0
259,부자의 그릇,이즈미 마사토 저/김윤수 역,다산북스,2020년 12월,15000.0
260,아이에게 주는 감정 유산 ,이남옥 저,라이프앤페이지,2023년 02월,17000.0
261,메타버스에선 무슨 일이 일어날까?,이동은 저,이지북,2022년 03월,13000.0
262,슬램덩크 그로부터 10일 후 (SLAM DUNK 10 DAYS AFTER),이노우에 타케히코 글그림,대원,2007년 11월,15000.0
263,2023 해커스경찰 갓대환 형사법 기본서 1권 형법,김대환 저,해커스경찰,2023년 01월,41000.0
264,하루 한장 초등 영어 파닉스+발음기호,이문필 저,키즈프렌즈,2022년 01월,14000.0
265,흔한남매 과학 탐험대 6 물리 2,"흔한남매 원저/권태균,이현진 글/김덕영 그림/최진수,권경아,김희목,정현철 기획",주니어김영사,2022년 11월,14000.0
266,데일리 필로소피,"라이언 홀리데이,스티븐 핸슬먼 저/장원철 역",다산초당,2021년 12월,18000.0
267,우리는 언제나 다시 만나,윤여림 글/안녕달 그림,위즈덤하우스,2017년 07월,12000.0
268,내가 알고 있는 걸 당신도 알게 된다면 (리커버 에디션) ,칼 필레머 저/박여진 역,토네이도,2022년 08월,17000.0
269,잊혀진 계절 1,김도형 저,에이에스,2022년 01월,18000.0
270,도쿄 리벤저스 30 ,와쿠이 켄 글그림,학산문화사,2023년 03월,6000.0
271,기억 전달자,로이스 라우리 저,비룡소,2007년 05월,12000.0
272,해커스 토익 실전 1000제 1 LC Listening 문제집 (리스닝),해커스 어학연구소 저,해커스어학연구소,2023년 01월,11900.0
273,멋진 신세계,올더스 헉슬리 저/안정효 역,소담출판사,2015년 06월,13800.0
274,알사탕,백희나 글그림,책읽는곰,2017년 03월,12000.0
275,감람 일러스트집 ROMANCE (로맨스),감람 저,테라코타,2023년 03월,33000.0
276,틀려도 괜찮아,마키타 신지 글/하세가와 토모코 그림/유문조 역,토토북,2006년 02월,12000.0
277,2023 전한길 한국사 실전형 봉투 모의고사,전한길 편저,전한길한국사,2023년 03월,12000.0
278,2023 해커스 현대자동차 생산인력·생산직 필기시험 한권완성,해커스 취업교육연구소 저,챔프스터디,2023년 02월,21000.0
279,2023 에듀윌 공인중개사 오시훈 키워드 암기장 부동산공법,오시훈 저,에듀윌,2023년 01월,15000.0
280,10배의 법칙,그랜트 카돈 저/최은아 역,부키,2022년 03월,16800.0
281,"어머니, 사교육을 줄이셔야 합니다",정승익 저,메이트북스,2023년 01월,17000.0
282,사계절 코바늘 플라워,박경조 저,한스미디어,2023년 02월,22000.0
283,2023 갓대환 형사법 기출총정리 & 최신기출문제 ,김대환 편저,멘토링,2023년 02월,84000.0
284,경제파국으로 치닫는 금융위기,최용식 저,새빛,2023년 01월,18000.0
285,모순,양귀자 저,쓰다,2013년 04월,13000.0
286,대화의 밀도,류재언 저,라이프레코드,2023년 01월,18000.0
287,그대 늙어가는 것이 아니라 익어가는 것이다,오평선 저,포레스트북스,2022년 12월,15800.0
288,별의 커비 디스커버리 1,"다카세 미에 글/가리노 타우,포토 그림/현승희 역",해피북스투유,2023년 01월,13500.0
289,심판,베르나르 베르베르 저/전미연 역,열린책들,2020년 08월,14800.0
290,수학은 암기다,김현정 저,한국경제신문사(한경비피),2023년 02월,16800.0
291,Do it! 점프 투 파이썬,박응용 저,이지스퍼블리싱,2019년 06월,18800.0
292,어떻게 말해줘야 할까,오은영 저/차상미 그림,김영사,2020년 10월,17500.0
293,슈퍼 히어로의 똥 닦는 법,안영은 글/최미란 그림,책읽는곰,2018년 04월,12000.0
294,흔한남매 수수께끼 어드벤처 1,"흔한남매 원저/노지영 글/도니패밀리 그림/흔한컴퍼니,정재형 감수",미래엔아이세움,2022년 09월,14000.0
295,지구 끝의 온실,김초엽 저,자이언트북스,2021년 08월,15000.0
296,[예스리커버] 이 책은 돈 버는 법에 관한 이야기 ,고명환 저,라곰,2022년 09월,16800.0
297,오버로드 16 (일러스트 카드집 부속 특별판),마루야마 쿠가네 저/so-bin 그림/김완 역,영상출판미디어,2023년 03월,20000.0
298,페인트,이희영 저,창비,2019년 04월,13000.0
299,가짜 모범생,손현주 저,특별한서재,2021년 10월,12000.0
